departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,ITUANGO,"5,361",Rural,Vereda Los Galgos,"2,004",5,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,7.171637,-75.764403,Sin informacion,"(7.171637, -75.764403)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Sin información,"2,005",1,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.741667,-75.040556,Sin informacion,"(2.741667, -75.040556)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Sin información,"2,005",1,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.741667,-75.040556,Sin informacion,"(2.741667, -75.040556)",Fuerza pública
ANTIOQUIA,5,SONSÓN,"5,756",Rural,Cuchilla Chamberi,"2,007",4,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
ANTIOQUIA,5,SONSÓN,"5,756",Rural,Cuchilla Chamberi,"2,007",4,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
ANTIOQUIA,5,SONSÓN,"5,756",Rural,Cuchilla Chamberi,"2,007",4,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
ANTIOQUIA,5,SAN CARLOS,"5,649",Rural,Sitio Alto El Chocó,"2,003",10,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,6.151389,-75.056667,Sin informacion,"(6.151389, -75.056667)",Fuerza pública
ANTIOQUIA,5,SAN CARLOS,"5,649",Rural,Sitio Alto El Chocó,"2,003",10,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,6.151389,-75.056667,Sin informacion,"(6.151389, -75.056667)",Fuerza pública
CAUCA,19,SANTA ROSA,"19,701",Rural,Vereda Verdeyaco,"2,003",10,Mayor de 18 años,No,Civil,Hombre,Herido,1.68305192469,-76.5770062302,Sin informacion,"(1.68305192469, -76.5770062302)",Sin Información
BOLIVAR,13,MORALES,"13,473",Rural,Sin información,"1,992",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.270279,-73.865805,Sin informacion,"(8.270279, -73.865805)",Fuerza pública
BOLIVAR,13,MORALES,"13,473",Rural,Sin información,"1,992",7,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,8.270279,-73.865805,Sin informacion,"(8.270279, -73.865805)",Fuerza pública
CHOCO,27,JURADÓ,"27,372",Rural,Sin información,"2,008",3,Mayor de 18 años,Indigena,Civil,Mujer,Herido,7.105282,-77.764098,Sin informacion,"(7.105282, -77.764098)",Sin Información
ANTIOQUIA,5,SONSÓN,"5,756",Rural,Vereda Roblalito A,"2,005",11,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,5.709167,-75.310278,Sin informacion,"(5.709167, -75.310278)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Herido,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,"18,753",Rural,Entre Las Inspecciones De Rovira Y Guayabal,"2,002",3,Mayor de 18 años,No,Fuerza pública,Hombre,Muerto,2.120008,-74.768227,Sin informacion,"(2.120008, -74.768227)",Fuerza pública
